110,MD1 B Flat ,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
111,MD1 B Flat  DF,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
112,MD1 B Frame,  15.75 ,  14.75 ,  13.75 ,  13.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
113,MD1 B French,  15.75 ,  14.75 ,  13.75 ,  13.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
114,MD1 B Solid ,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
115,MD1 B Solid  DF,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
116,MD1 Flat ,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
117,MD1 Flat  DF,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
118,MD1 Frame,  15.75 ,  14.75 ,  13.75 ,  13.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
119,MD1 French,  15.75 ,  14.75 ,  13.75 ,  13.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
120,MD1 Solid ,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
121,MD1 Solid  DF,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
122,MD10 Flat ,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
123,MD10 Flat  DF,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
124,MD10 Frame,  15.75 ,  14.75 ,  13.75 ,  13.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
125,MD10 French,  15.75 ,  14.75 ,  13.75 ,  13.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
126,MD10 Solid ,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
127,MD10 Solid  DF,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
128,MD11 Flat ,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
129,MD11 Flat  DF,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
130,MD11 Frame,  15.75 ,  14.75 ,  13.75 ,  13.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,1,3,NULL,NULL,NULL
131,MD11 French,  15.75 ,  14.75 ,  13.75 ,  13.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
132,MD11 Solid ,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
133,MD11 Solid  DF,  19.80 ,  18.80 ,  17.80 ,  16.80 ,  18.80 ,  17.80 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
134,MD12 Flat  DF,  15.75 ,  14.75 ,  13.75 ,  12.75 ,  14.75 ,  13.75 ,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL
